model,seed,sample_id,subject_id,true_label,true_class,pred_label,pred_class,correct,top1_confidence,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,true_class_probability,pred_class_probability,probability_margin,file_path,correctness,case_type
LeNet_LSTM,43,8400,26,3,class_3,11,class_11,0,0.5216455459594727,0.2852452397346496,0.0002213595143985,0.0013147282879799,0.0006528001395054,0.0012366916052997,0.0002167277125408,0.060573648661375,0.000797972199507,0.1272966563701629,0.0006251942832022,0.0001734065590426,0.5216455459594727,0.0006528001395054,0.5216455459594727,0.23640030622482305,/home/yaxin/datasets/TacAct-original/26_4_L_1.xlsx,wrong,other
LeNet_LSTM,43,8401,26,3,class_3,6,class_6,0,0.9996914863586426,3.566460873116739e-05,1.427223196515115e-05,3.4370830235275207e-06,0.0001536088966531,4.656158125726506e-05,1.7688927300696378e-06,0.9996914863586426,2.030843916145386e-06,5.085292286821641e-06,1.4230976148610353e-06,1.3969480505693357e-06,4.316875492804684e-05,0.0001536088966531,0.9996914863586426,0.9995378774619895,/home/yaxin/datasets/TacAct-original/26_4_L_10.xlsx,wrong,class_3_to_6_error
LeNet_LSTM,43,8402,26,3,class_3,4,class_4,0,0.7280914783477783,0.2470555752515792,0.0008193771354854,0.0001813404524,0.0001733150420477,0.7280914783477783,9.980628965422512e-05,0.0217343121767044,4.453620931599289e-05,0.0014558052644133,0.0001856599556049,2.326644789718557e-05,0.0001355542772216,0.0001733150420477,0.7280914783477783,0.48103590309619915,/home/yaxin/datasets/TacAct-original/26_4_L_11.xlsx,wrong,other
LeNet_LSTM,43,8403,26,3,class_3,6,class_6,0,0.9700958728790284,0.000355337979272,0.0003962494374718,2.667478474904783e-05,0.0003578343894332,0.0283776074647903,1.0000049769587347e-05,0.9700958728790284,2.3718122974969447e-05,0.0001048124613589,2.6431256628711708e-05,1.2218186384416184e-05,0.0002132730442099,0.0003578343894332,0.9700958728790284,0.9417182654142381,/home/yaxin/datasets/TacAct-original/26_4_L_12.xlsx,wrong,class_3_to_6_error
LeNet_LSTM,43,8404,26,3,class_3,6,class_6,0,0.984159529209137,0.0001044700038619,0.0002745784877333,1.7057283912436105e-05,0.0052507203072309,0.0094086155295372,1.944011091836728e-05,0.984159529209137,3.068285877816379e-05,8.189801155822352e-05,1.1872604773088824e-05,2.579405190772377e-05,0.0006153094582259,0.0052507203072309,0.984159529209137,0.9747509136795998,/home/yaxin/datasets/TacAct-original/26_4_L_13.xlsx,wrong,class_3_to_6_error
LeNet_LSTM,43,8405,26,3,class_3,3,class_3,1,0.9989520311355592,3.286947958258679e-07,6.452704838011414e-06,1.6077163991212728e-06,0.9989520311355592,2.6078296286868863e-06,2.1004669292779e-07,0.000969645101577,2.091458190989215e-05,6.477017677752883e-07,2.9193051886977628e-06,1.8189100501331268e-06,4.085120963281952e-05,0.9989520311355592,0.9989520311355592,0.9979823860339821,/home/yaxin/datasets/TacAct-original/26_4_L_14.xlsx,correct,correct_class_3
LeNet_LSTM,43,8406,26,3,class_3,3,class_3,1,0.968768835067749,4.119727236684412e-06,4.25350881414488e-05,1.2108471310057212e-05,0.968768835067749,2.7438394681666974e-05,2.362793111387873e-06,0.0309690106660127,7.963897951412946e-05,4.101920694665751e-06,1.2240959222253878e-05,1.856261405919213e-05,5.898382005398162e-05,0.968768835067749,0.968768835067749,0.9377998244017364,/home/yaxin/datasets/TacAct-original/26_4_L_15.xlsx,correct,correct_class_3
LeNet_LSTM,43,8407,26,3,class_3,6,class_6,0,0.99871563911438,0.0003932061081286,3.908628423232585e-05,1.3682630196854006e-05,0.0003265571140218,0.0002893309574574,7.1364661380357575e-06,0.99871563911438,1.2075650374754332e-05,4.083589374204166e-05,6.403941824828507e-06,8.240377610491123e-06,0.0001478165359003,0.0003265571140218,0.99871563911438,0.9983224330062513,/home/yaxin/datasets/TacAct-original/26_4_L_16.xlsx,wrong,class_3_to_6_error
LeNet_LSTM,43,8408,26,3,class_3,3,class_3,1,0.9991499185562134,4.3321421117070713e-07,7.311075933102984e-06,1.4965736454541911e-06,0.9991499185562134,4.806495326192817e-06,2.0102552866774206e-07,0.0007643485441803,2.425848833809141e-05,8.004006417650089e-07,4.624716439138865e-06,2.600252173579065e-06,3.916120112990029e-05,0.9991499185562134,0.9991499185562134,0.9983855700120331,/home/yaxin/datasets/TacAct-original/26_4_L_17.xlsx,correct,correct_class_3
LeNet_LSTM,43,8409,26,3,class_3,6,class_6,0,0.9983842372894288,4.494879976846278e-05,3.4433542168699205e-05,1.1781876310124062e-05,0.0012925103073939,4.534970867098309e-05,2.5175102109642467e-06,0.9983842372894288,1.0029030818259344e-05,1.5416853784699924e-05,2.526582420614432e-06,4.687055934482487e-06,0.0001515973563073,0.0012925103073939,0.9983842372894288,0.997091726982035,/home/yaxin/datasets/TacAct-original/26_4_L_18.xlsx,wrong,class_3_to_6_error
