sample_id,file_path,subject_id,gesture,active_length,max_abs_delta,mean_abs_delta,active_area_mean,active_area_max,motion_energy,true_label,pred_label,case_type,top1_confidence,true_class_probability,pred_class_probability,probability_margin
240,/home/yaxin/datasets/TacAct-original/10_4_L_1.xlsx,10,4,80,142.0,3.1719062328338623,742.9874877929688,927.0,0.4948146641254425,3,3,correct_class_3,0.9995494484901428,0.9995494484901428,0.9995494484901428,0.9991369603085333
241,/home/yaxin/datasets/TacAct-original/10_4_L_10.xlsx,10,4,80,182.0,3.076655864715576,749.8125,912.0,0.5395374298095703,3,3,correct_class_3,0.9995775818824768,0.9995775818824768,0.9995775818824768,0.9991908249794506
242,/home/yaxin/datasets/TacAct-original/10_4_L_11.xlsx,10,4,80,132.2539825439453,2.6418709754943848,744.3375244140625,904.0,0.47203484177589417,3,3,correct_class_3,0.9987767338752748,0.9987767338752748,0.9987767338752748,0.9977738588349896
243,/home/yaxin/datasets/TacAct-original/10_4_L_12.xlsx,10,4,80,211.0,3.5254502296447754,730.5374755859375,889.0,0.5251061916351318,3,3,correct_class_3,0.9772467613220216,0.9772467613220216,0.9772467613220216,0.9545907434076072
244,/home/yaxin/datasets/TacAct-original/10_4_L_13.xlsx,10,4,80,156.92025756835938,3.30651593208313,751.2750244140625,924.0,0.5131546854972839,3,3,correct_class_3,0.9995217323303224,0.9995217323303224,0.9995217323303224,0.9990798484941481
245,/home/yaxin/datasets/TacAct-original/10_4_L_14.xlsx,10,4,80,208.0,3.5355114936828613,731.5250244140625,917.0,0.5405399203300476,3,3,correct_class_3,0.9993376135826112,0.9993376135826112,0.9993376135826112,0.9987166682840327
246,/home/yaxin/datasets/TacAct-original/10_4_L_15.xlsx,10,4,80,132.2539825439453,3.169105052947998,745.0999755859375,941.0,0.5252484679222107,3,3,correct_class_3,0.9995774626731871,0.9995774626731871,0.9995774626731871,0.999194314761553
247,/home/yaxin/datasets/TacAct-original/10_4_L_16.xlsx,10,4,80,176.00718688964844,3.3881733417510986,749.125,919.0,0.5040368437767029,3,3,correct_class_3,0.9995461106300354,0.9995461106300354,0.9995461106300354,0.9991345480375458
248,/home/yaxin/datasets/TacAct-original/10_4_L_17.xlsx,10,4,80,127.82466125488281,3.0457940101623535,753.8250122070312,928.0,0.49213385581970215,3,3,correct_class_3,0.999406099319458,0.999406099319458,0.999406099319458,0.9988622296368704
249,/home/yaxin/datasets/TacAct-original/10_4_L_18.xlsx,10,4,80,160.096923828125,3.4755921363830566,742.7000122070312,931.0,0.531221330165863,3,3,correct_class_3,0.9992889165878296,0.9992889165878296,0.9992889165878296,0.9986176747479477
