sample_id,file_path,subject_id,gesture,active_length,max_abs_delta,mean_abs_delta,active_area_mean,active_area_max,motion_energy,true_label,pred_label,correct,top1_confidence,true_class_probability,pred_class_probability,probability_margin
0,/home/yaxin/datasets/TacAct-original/10_10_L_1.xlsx,10,10,80,99.5817642211914,0.6427131295204163,662.0499877929688,846.0,0.46228277683258057,9,9,1,0.9992954730987548,0.9992954730987548,0.9992954730987548,0.9989340165629983
1,/home/yaxin/datasets/TacAct-original/10_10_L_10.xlsx,10,10,80,161.4578094482422,0.8199888467788696,680.2874755859375,908.0,0.5588231682777405,9,9,1,0.9999597072601318,0.9999597072601318,0.9999597072601318,0.99993694904515
2,/home/yaxin/datasets/TacAct-original/10_10_L_11.xlsx,10,10,80,75.52972412109375,0.6040312051773071,674.3624877929688,888.0,0.441694438457489,9,9,1,0.99996817111969,0.99996817111969,0.99996817111969,0.9999503324579565
3,/home/yaxin/datasets/TacAct-original/10_10_L_12.xlsx,10,10,80,130.51979064941406,0.6888675689697266,667.0625,877.0,0.5641788244247437,9,9,1,0.9999833106994628,0.9999833106994628,0.9999833106994628,0.9999754829004813
4,/home/yaxin/datasets/TacAct-original/10_10_L_13.xlsx,10,10,80,151.6492919921875,0.641158401966095,658.4874877929688,854.0,0.49312475323677063,9,9,1,0.9999886751174928,0.9999886751174928,0.9999886751174928,0.9999826655830476
5,/home/yaxin/datasets/TacAct-original/10_10_L_14.xlsx,10,10,80,68.06179809570312,0.6180626153945923,673.1624755859375,863.0,0.44100260734558105,9,9,1,0.9998859167099,0.9998859167099,0.9998859167099,0.9998135291025393
6,/home/yaxin/datasets/TacAct-original/10_10_L_15.xlsx,10,10,80,161.0,0.7435999512672424,675.8125,880.0,0.5425794720649719,9,9,1,0.9999769926071168,0.9999769926071168,0.9999769926071168,0.9999683286896471
7,/home/yaxin/datasets/TacAct-original/10_10_L_16.xlsx,10,10,80,109.34744262695312,0.5715686678886414,660.5374755859375,846.0,0.42463114857673645,9,9,1,0.9999779462814332,0.9999779462814332,0.9999779462814332,0.9999695278684159
8,/home/yaxin/datasets/TacAct-original/10_10_L_17.xlsx,10,10,80,68.98715209960938,0.5084237456321716,647.8125,838.0,0.38154786825180054,9,9,1,0.999974489212036,0.999974489212036,0.999974489212036,0.9999646114665665
9,/home/yaxin/datasets/TacAct-original/10_10_L_18.xlsx,10,10,80,58.639076232910156,0.47158947587013245,645.5125122070312,810.0,0.37489455938339233,9,9,1,0.9999827146530152,0.9999827146530152,0.9999827146530152,0.9999753575998512
10,/home/yaxin/datasets/TacAct-original/10_10_L_19.xlsx,10,10,80,111.54573059082031,0.6185429692268372,647.5250244140625,844.0,0.45955267548561096,9,9,1,0.9999890327453612,0.9999890327453612,0.9999890327453612,0.9999830060364728
11,/home/yaxin/datasets/TacAct-original/10_10_L_2.xlsx,10,10,80,143.0,0.8735179901123047,679.2750244140625,934.0,0.5559594631195068,9,9,1,0.9997262358665466,0.9997262358665466,0.9997262358665466,0.9996304666929063
12,/home/yaxin/datasets/TacAct-original/10_10_L_20.xlsx,10,10,80,92.41283416748047,0.5139461755752563,649.3250122070312,826.0,0.4115700125694275,9,9,1,0.9999816417694092,0.9999816417694092,0.9999816417694092,0.9999756364190944
