model,seed,sample_id,subject_id,true_label,true_class,pred_label,pred_class,correct,top1_confidence,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,true_class_probability,pred_class_probability,probability_margin,file_path
LeNet_LSTM,43,42,10,10,class_10,7,class_7,0,0.9889926314353944,2.1928442947682925e-05,0.0001374105777358,0.0001756290002958,0.0002892524935305,3.296983049949631e-05,5.8997797168558463e-05,8.458200682071038e-06,0.9889926314353944,0.000192574414541,0.0003617278998717,0.0054996716789901,0.0042287250980734,0.0054996716789901,0.9889926314353944,0.9834929597564043,/home/yaxin/datasets/TacAct-original/10_11_L_11.xlsx
LeNet_LSTM,43,47,10,10,class_10,7,class_7,0,0.9911324381828308,1.7992064385907724e-05,0.0001273971283808,0.0001489482965553,0.0002650179958436,3.2593092328170314e-05,2.466511796228588e-05,9.649552339396903e-06,0.9911324381828308,0.0002204956399509,0.0002389791916357,0.004618068691343,0.003163726767525,0.004618068691343,0.9911324381828308,0.9865143694914879,/home/yaxin/datasets/TacAct-original/10_11_L_16.xlsx
LeNet_LSTM,43,52,10,10,class_10,7,class_7,0,0.9955105781555176,9.803966349863911e-06,7.320063014049083e-05,0.0001153327539213,0.0001650157064432,1.7708605810184963e-05,1.5193328181339892e-05,5.216195404500468e-06,0.9955105781555176,0.000153873610543,0.0001268673659069,0.0018569510430097,0.0019501810893416,0.0018569510430097,0.9955105781555176,0.9935603970661759,/home/yaxin/datasets/TacAct-original/10_11_L_20.xlsx
LeNet_LSTM,43,53,10,10,class_10,7,class_7,0,0.9909499287605286,1.455672099837102e-05,0.000112249275844,0.0001381399633828,0.0002520063135307,2.498812864359934e-05,2.2324062229017727e-05,8.497859198541846e-06,0.9909499287605286,0.0002033847558777,0.000224999137572,0.0051892134360969,0.0028596541378647,0.0051892134360969,0.9909499287605286,0.9857607153244317,/home/yaxin/datasets/TacAct-original/10_11_L_3.xlsx
LeNet_LSTM,43,129,10,0,class_0,8,class_8,0,0.9865487217903136,0.0130551708862185,3.52981055584678e-06,9.738180960994214e-05,2.7186094939679606e-06,6.1892977100797e-05,1.0292441402270924e-05,7.906690370873548e-06,0.0001468124683015,0.9865487217903136,1.1942254786845297e-05,5.35229264642112e-06,4.829635145142674e-05,0.0130551708862185,0.9865487217903136,0.9734935509040951,/home/yaxin/datasets/TacAct-original/10_1_L_18.xlsx
LeNet_LSTM,43,143,10,0,class_0,2,class_2,0,0.961230456829071,0.0361374579370021,0.0002252224221592,0.961230456829071,6.630209099967033e-05,3.284803096903488e-05,0.0002814633480738,4.10207430832088e-05,4.499974602367729e-05,0.0018769117305055,2.3661862087465124e-06,9.842302461038344e-06,5.1154998800484464e-05,0.0361374579370021,0.961230456829071,0.925092998892069,/home/yaxin/datasets/TacAct-original/10_1_R_12.xlsx
LeNet_LSTM,43,147,10,0,class_0,2,class_2,0,0.9939885139465332,0.0052576474845409,9.068191138794646e-05,0.9939885139465332,2.2195341443875805e-05,7.00419786880957e-06,4.1994699131464586e-05,6.285525614657672e-06,3.120114342891611e-05,0.0005448302836157,6.172007829263748e-07,2.2575902676180704e-06,6.75935280014528e-06,0.0052576474845409,0.9939885139465332,0.9887308664619923,/home/yaxin/datasets/TacAct-original/10_1_R_16.xlsx
LeNet_LSTM,43,148,10,0,class_0,2,class_2,0,0.9854292273521424,0.0125842653214931,0.0007369438535533,0.9854292273521424,5.8126955991610885e-05,3.0644339858554304e-05,0.0002097474352922,2.1474348613992333e-05,5.334202069207095e-05,0.0008399761281907,1.768708102645178e-06,1.0579407899058424e-05,2.383856372034643e-05,0.0125842653214931,0.9854292273521424,0.9728449620306493,/home/yaxin/datasets/TacAct-original/10_1_R_17.xlsx
LeNet_LSTM,43,260,10,3,class_3,6,class_6,0,0.999380350112915,2.9586677555926144e-05,3.617562470026314e-05,3.6940257359674433e-06,0.0003214899625163,0.0001727648923406,3.5121529435855336e-06,0.999380350112915,2.2299195734376558e-06,5.2961622714065015e-06,1.5180287391558522e-06,3.081306431340636e-06,4.026674650958739e-05,0.0003214899625163,0.999380350112915,0.9990588601503987,/home/yaxin/datasets/TacAct-original/10_4_R_1.xlsx
LeNet_LSTM,43,262,10,3,class_3,6,class_6,0,0.9996461868286132,3.600187847041525e-05,2.651652175700292e-05,3.3801754852902377e-06,0.0001276594121009,0.0001163780907518,2.498934918548912e-06,0.9996461868286132,1.6717898461138248e-06,5.436803803604562e-06,1.4049850278752274e-06,1.8755575865725405e-06,3.1084466172615066e-05,0.0001276594121009,0.9996461868286132,0.9995185274165123,/home/yaxin/datasets/TacAct-original/10_4_R_11.xlsx
